session_duration_minutes,energy_consumed_kwh,voltage_mean,current_mean,temperature_mean,sessions_per_hour,request_rate_per_minute,latency_ms,authentication_status,multiple_failed_auth_attempts,unexpected_command_flag,energy_deviation_from_expected,voltage_spike_flag,abnormal_duration_flag,label
75,16.318004674043227,221.0866406964581,25.134038669431618,40.66774439991677,4,6,81.63502422338695,1,0,0,-0.1386015576708414,0,0,0
108,9.019288865872124,227.35068844583063,31.41598785420141,31.901674910264674,4,6,48.0005494778543,1,0,0,0.14010277052509718,0,0,0
75,24.587411595787625,238.74776132994236,25.281421354711274,32.09795366973108,4,7,21.68295219683749,1,0,0,0.4978295057143512,0,0,0
114,36.50080931893039,230.01248536140835,23.35334491541797,44.938988348233394,4,7,79.08312315807261,1,0,0,0.030514291778160427,0,0,0
67,104.2164662504242,270.0628426676651,32.92335442311261,44.83188471328333,4,6,37.80829092329902,1,0,0,28.20731333580643,1,0,1
78,24.97134113235904,226.94554078061014,21.969961894758136,41.08331129967768,1,6,32.178257113349346,1,0,0,-0.09868380350474464,0,0,0
77,25.253639300033768,238.26573895152472,22.797613485889393,36.9712598643552,3,5,71.93231718646982,1,0,0,0.24675801760143926,0,0,0
88,6.519438649918671,228.14212978251254,20.838712180456582,38.37753062081371,3,5,52.80190293933944,1,0,0,0.3435335348180598,0,0,0
115,19.84457349558351,226.99406459491698,24.34335421954355,30.19341677900828,3,1,68.04278145651318,1,0,0,-0.08949172069584542,0,0,0
52,5.860542076058053,222.21441186652632,24.05011956082464,28.92491433412331,2,6,56.27329844994144,1,0,0,0.07551645452756783,0,0,0
106,17.559066944322588,222.614207534804,31.083589105505794,29.93317231610813,2,2,48.941464953805266,1,0,0,-1.1953910771626188,0,0,0
100,32.60090239285857,230.95918977947386,16.995251618635244,41.61898342110137,4,6,79.58005853039379,1,0,0,-0.4729316539481624,0,0,0
32,118.11719050331556,281.9827846292602,37.265150592486,27.262115130034395,4,4,98.6355937296177,1,0,0,27.373253959527652,1,0,1
103,38.77915437526159,238.00166366032963,25.912419200580853,32.862942589880305,4,2,34.94180225849035,1,0,0,0.23627869969191123,0,0,0
39,26.84521177471969,239.92668675254495,27.669516705407943,25.127580868131815,4,9,53.949762084290775,1,0,0,0.1630221881829296,0,0,0
4,4.756860782262256,236.9045111632148,27.349028716855734,34.65788873197197,76,54,884.3265296834304,1,0,0,1.0431877087756758,0,1,1
35,29.792704185026217,226.70416094741745,26.083955511298527,27.364372445821772,4,10,46.98872626858237,1,0,0,-0.46352504596266686,0,0,0
28,25.34333774979143,222.70332578309646,20.98982172667013,38.357358134016266,2,3,63.952946564877166,1,0,0,0.2450907587453707,0,0,0
5,0.5787656493951167,233.83011091627188,21.71587149072218,41.583635598998356,32,70,260.8799911846194,1,0,0,0.7328586208520299,0,1,1
81,14.026598946572895,239.5122040171983,29.36768361187511,27.509725935983013,3,1,73.07922761029681,1,0,0,0.050875525385819326,0,0,0
69,6.99803996312602,220.5507343973893,21.766829234263778,37.83639033602871,2,10,22.485450419556507,1,0,0,0.11888058229744643,0,0,0
105,35.76914076467577,238.1844041172312,25.401373937750428,39.941565342580574,5,2,43.69414124471988,1,0,0,-1.0695570622154256,0,0,0
109,5.74442937976355,221.63450691493557,20.22842021053823,29.030567560126258,4,2,33.734255603457356,1,0,0,-0.17238872267944808,0,0,0
67,39.927693868666815,236.99950742961323,26.508097015592913,40.590334028481266,2,5,52.96141911613251,1,0,0,0.5318869918927883,0,0,0
71,25.75289771945961,233.08585104649924,19.188325383468815,37.01824011318172,1,2,83.21050989808867,1,0,0,-0.469477073984434,0,0,0
9,1.216113873927227,225.02860304374926,16.463947909375168,25.106483811421285,27,97,833.5252307377896,1,0,0,-1.0315059057504077,0,1,1
109,5.0749321770916325,223.23425556660217,16.745279073384665,36.77887297014698,1,9,58.48150238403694,0,8,1,-0.06661237627413714,0,0,1
63,30.939222725152067,222.02091622021294,23.327932144057144,28.71466144010371,2,4,44.92098392111888,1,0,0,-0.7053998468135281,0,0,0
44,85.31101488568333,294.20446535176757,39.21714603758707,30.03706724691418,3,4,36.21255375923448,1,0,0,50.50610235024564,1,0,1
53,82.36524056637741,266.26663631337414,40.72977411054062,39.593992548934416,2,5,98.51325774669311,1,0,0,32.21726770732129,1,0,1
114,37.767428618529145,231.44097286738602,31.954917662447208,43.79137178050331,4,3,35.2884498152916,1,0,0,-0.90408896126508,0,0,0
28,33.518878981127926,226.90446285603383,23.4278163158276,40.66939120098535,5,2,94.53851398030596,1,0,0,0.19786773123252396,0,0,0
111,38.313412489813366,239.11837657910638,25.993824769832507,26.939313419308494,4,5,81.34146850706685,1,0,0,-0.8722824759490181,0,0,0
31,8.872110793432253,229.18893536811973,17.21982748757703,35.9339136414426,3,3,41.893310793716616,1,0,0,-0.1398576446601863,0,0,0
54,13.812967061743347,229.22954929249468,31.69908046662585,25.216221672703927,2,7,95.60136753987952,1,0,0,-0.5528127508572201,0,0,0
120,19.02670713063641,239.69339479049017,22.985827036300257,27.117486364262586,5,5,41.50892359832053,1,0,0,0.3037828135606883,0,0,0
81,16.672471009190048,232.30025936077732,26.149819021946996,41.11429051336436,3,2,55.24824912473398,1,0,0,0.13745635539375353,0,0,0
75,28.432043431936656,222.03784776132028,17.392275492844618,31.33885243534563,2,9,58.91240284289425,1,0,0,0.07188232155429247,0,0,0
43,7.347676708594962,225.71813578478321,26.50609717932602,33.35333991633989,1,4,95.80521010592344,1,0,0,0.23478944844919591,0,0,0
20,35.396379156426946,233.91236292993614,21.204722144368496,43.935124893844815,1,9,49.746942765313555,1,0,0,-0.6007940940702589,0,0,0
72,26.056413705121592,222.2199619758263,18.19437581044389,25.402756978985796,1,2,42.251491235912866,1,0,0,0.5631737662174888,0,0,0
42,7.247312797629693,226.3389317558224,22.269749971008416,32.09457113460425,4,3,92.32909283836041,1,0,0,0.48785626899133283,0,0,0
119,18.892314667055864,232.21560142151537,17.071577792404344,35.805577863748425,5,10,51.42712611851219,1,0,0,-0.17135327680663176,0,0,0
98,16.351681359038146,234.81808112304142,28.763716213571424,27.180272312818573,5,1,68.4057002750195,1,0,0,0.657547005053902,0,0,0
44,29.370107155734893,226.99012744173638,20.421105735453658,44.76841987926962,4,2,81.12764692631035,1,0,0,0.19922402275600037,0,0,0
47,9.987344001552962,232.68208062752663,21.33805433338985,27.536480451008376,3,2,21.552099649457233,1,0,0,0.9037951610961537,0,0,0
68,26.917711257099537,230.4289137808718,18.747102523287193,43.69459830976602,3,10,61.62589009531086,1,0,0,0.6507964990019964,0,0,0
63,27.440167150985406,236.81743158851845,19.346967446526847,42.9677293316807,4,8,97.47353044003263,1,0,0,-0.8590687451880179,0,0,0
47,30.572767858373613,226.26695835170287,18.801970242085652,42.17396242489148,2,5,63.34082559528123,1,0,0,-0.1341490885290276,0,0,0
1,1.3986710988886828,221.0786516568174,30.020677576383,43.585219503957845,69,118,656.4491236996852,1,0,0,-0.20617334671170368,0,1,1
67,115.8518969153721,269.77055556606695,51.774509958889894,44.72055856392859,5,9,90.22660828606516,1,0,0,44.95782299045553,1,0,1
80,6.072837577203212,228.3789558037495,26.466123792445977,29.32665555261654,4,1,33.82058546248699,1,0,0,0.1798245789410579,0,0,0
92,9.207316937971296,237.54181162036377,25.16171572611236,34.43479675036878,1,9,39.757232997365,1,0,0,-0.5508871814698869,0,0,0
